Gene	Aliases Used	OG/TSG	MutSig	GISTIC amp	GISTIC del	Hotspots (AA #)	3D Hotspots (AA #)	OncoKB copy-number	OncoKB mutations	OQL all copy	OQL filtered copy	OQL filtered mut	OQL for GAM
STK4	MST1	TSG	0		KIRC;					HOMDEL		MUT=TRUNC	STK4:  MUT=TRUNC
STK3	MST2	TSG	0		THCA;					HOMDEL		MUT=TRUNC	STK3:  MUT=TRUNC
SAV1		TSG	0		CHOL;LIHC;					HOMDEL	HOMDEL	MUT=TRUNC	SAV1: HOMDEL MUT=TRUNC
LATS1		TSG	0					HOMDEL	truncating mutations	HOMDEL	HOMDEL	MUT=TRUNC	LATS1: HOMDEL MUT=TRUNC
LATS2		TSG	0					HOMDEL	truncating mutations	HOMDEL	HOMDEL	MUT=TRUNC	LATS2: HOMDEL MUT=TRUNC
MOB1A		TSG	0							HOMDEL		MUT=TRUNC	MOB1A:  MUT=TRUNC
MOB1B		TSG	0							HOMDEL		MUT=TRUNC	MOB1B:  MUT=TRUNC
YAP1		OG	0	CESC				AMP		AMP	AMP		YAP1: AMP 
WWTR1	TAZ	OG	0							AMP			
TEAD1		OG	0							AMP			
TEAD2		OG	0				A84, R85, I87, R95, R97 			AMP		MUT=A84 MUT=R85 MUT=I87 MUT=R95 MUT=R97 	TEAD2:  MUT=A84 MUT=R85 MUT=I87 MUT=R95 MUT=R97 
TEAD3		OG	0							AMP			
TEAD4		OG	0							AMP			
PTPN14		TSG	0		KIRC;OV;PCPG;					HOMDEL	HOMDEL	MUT=TRUNC	PTPN14: HOMDEL MUT=TRUNC
NF2		TSG	0		KIRP;MESO			HOMDEL	truncating mutations	HOMDEL	HOMDEL	MUT=TRUNC	NF2: HOMDEL MUT=TRUNC
WWC1	KIBRA	TSG	0							HOMDEL		MUT=TRUNC	WWC1:  MUT=TRUNC
TAOK1		TSG	0							HOMDEL		MUT=TRUNC	TAOK1:  MUT=TRUNC
TAOK2		TSG	0		DLBC;					HOMDEL		MUT=TRUNC	TAOK2:  MUT=TRUNC
TAOK3		TSG	0							HOMDEL		MUT=TRUNC	TAOK3:  MUT=TRUNC
CRB1		TSG	0							HOMDEL		MUT=TRUNC	CRB1:  MUT=TRUNC
CRB2		TSG	0							HOMDEL		MUT=TRUNC	CRB2:  MUT=TRUNC
CRB3		TSG	0							HOMDEL		MUT=TRUNC	CRB3:  MUT=TRUNC
LLGL1		TSG	0							HOMDEL			
LLGL2		TSG	0							HOMDEL			
HMCN1		TSG	0							HOMDEL			
SCRIB		Unknown	0							-			
HIPK2		OG	0	SKCM;						AMP			
FAT1		TSG	1		HNSC;LUSC;pancan	R1627		HOMDEL	truncating mutations, p.A4419T, p.R1627Q	HOMDEL	HOMDEL	MUT=TRUNC MUT=R1627 MUT=A4419T	FAT1: HOMDEL MUT=TRUNC MUT=R1627 MUT=A4419T
FAT2		TSG	0							HOMDEL		MUT=TRUNC	FAT2:  MUT=TRUNC
FAT3		TSG	0							HOMDEL		MUT=TRUNC	FAT3:  MUT=TRUNC
FAT4		TSG	0							HOMDEL		MUT=TRUNC	FAT4:  MUT=TRUNC
DCHS1		TSG	0							HOMDEL		MUT=TRUNC	DCHS1:  MUT=TRUNC
DCHS2		TSG	0							HOMDEL		MUT=TRUNC	DCHS2:  MUT=TRUNC
CSNK1E		TSG	0							HOMDEL		MUT=TRUNC	CSNK1E:  MUT=TRUNC
CSNK1D		TSG	0	UVM;						HOMDEL		MUT=TRUNC	CSNK1D:  MUT=TRUNC
AJUBA		OG	1							AMP			
LIMD1		OG	0		KIRC;					AMP			
WTIP		OG	0							AMP			
